اسغي ياشعب تونس تدعوا بالاسلام كفار الحمدلله نعمة الاسلام بلدنا الجزاير,hate
قطع يد السارق توفرت الشروط شرط الحد الأدنى قيمة غرام وربع ذكرني مرة أخرى,normal
تلوموش لطفي لعبدلي شرف,normal
مستغرب شعب يسمع تفاهة شانو لى الدرجة الشعب تافه قالت شانو نبكي تونس زكمونة سامي الفهري نقطة استفهام تونس الايام,normal
هههخ غزلتني مافهمتش شمدخلها الموضوع تتنطر وحدها وتنافق هههه,normal
ترضى اليهود والنصارى تتبع ملتهم الحمد لله يوجد يهود الجزائر وتربينا كرههم,hate
هدشي فالحين النخب العلمانية المدعومة الغرب مساواة المرأة الرجل,normal
الموت للاخوان المسلمين,hate
سلام اولا العجب والعجيب الناس يعارضون ويؤيدون حكم اراه كفرا وشرك بالله جهة جهة ثانية يجب معرفة الاصل الحكمة حق الرجل بمثل حظ الانثيين باختصار الرجل المسؤول الانفاق اولاده العكس الحال طلب الرجال النفقة لابد متساوية,normal
حولا بالله العلي العظيم الراجل ينصح وحب اعاونك وليت اتقلو راجل ايفكر اذهب,normal
تكلام تونس تونس بلاد الدعارة الخماج تفوووو بلاد اليهود سهاينة ربي صلاط دعش يقطعلكم الرؤس,hate
زوبعة فنجان,normal
هههه جماعت التاريخ مرا تحكي علاها قحبة فرق عصبة طحين تفشليم,abusive
للاسف رجال تونس اصبحو نسوان,hate
تكذب تبين كلامك حرفناش القران البسملة كامل كتاباتنا نحاوها لساننا التربية الاسلامية الليسي زلت نقراها الصح تعرفش دزاير,normal
عطيهم الصحة دولة الامارات منعت عاهرات تونس القدوم لدولتهم للعمل تجارة الجنس قرب رأس السنة الميلادية الجزائريين صورة بنات تونس مسخة بلادنا لله يسرنا,hate
معلومة تونس المسلم والكافر ترى بسب وقذف المسلمين يرضى أردت سب الكفار فرق تجمع وأختر الألفاظ والوصف الصحيح,normal
تعرفي اختي تونس مليانه الافارقة المغرب سمعت الشيء,normal
الحرب الإسلام والمسلمين وصلت ديار القيروان بالله اللهم دمر الكفار والمنافقين بلاد الإسلام العالم اينعت رؤوس الظالمين تونس الإسلام لاشيء,hate
صرم امك بريك البريك احشاها ترم,abusive
سيبوها مريم,normal
برافو مايا,normal
هخخخ وافهم حسيته انتاعه اليتيوب السيد قاله ملين ياولدي تتفرج فديوهاته,normal
محلها المذيعة حراكتها حلوى,normal
والله مساكين التوانسه علاقه بالدين الزلت والتفرعين نسو فانساهم انفسهم يهديكم,normal
للمساواة الرجل المرأة الميراث عاش النظام العلماني التقدمي,normal
لطف ربي,normal
المساواة الميراث حكايا فارغه وموضوع تافه مافيش نقاش سبحانه وتعالى فسره كتابه الكريم الرجل النصيب الكبر يعلموا تعلمون والله يهدي مؤمن,normal
حسبنا ونعم الوكيل تونس وحكام تونس وشعب تونس,normal
شمدخل لموضوع الزوالي والعرس تحكي درة زروق طريقة الكلام تافهة مسيبة المضمون ومركزة المضهر,normal
مايا قليلة تربية ياسين تفوق الارتباك واضح ياسين مستواه اقوى يستطيعو مجارته صوت مايا الجمها برافووو ياسيين,normal
ايعيش اختي محلاها تعرف تعبر وتقنع تفووووووووه,normal
عبالكم توانسة كنسار الامة الاسلامية اففففف ربي يهديكم اقصد,hate
شمس متربي برشه,normal
صرمك,abusive
اصلك قرد تطورت امامي انسان لقرد ولااتعجب قنبلة شواذ رئيسكم دابة يتكلم انسانية وحقوق ومساواة,hate
همجية مدنية علمانية حضارة مدنية الشريعة الاسلامية النظام اعطاه لمسلمين يعجبكم لاتسمون انفسكم مسلمين,normal
صحيتك السود تونس كفشلوا قالوا يحبوناش سود شيئ يضحك السود يحبوا يسيسوا قضية وجود اﻻ عقولهم البسيطة والسطحية أسود معقد لونك وأقول طبيبا نفسيا,hate
انسنارابيا,normal
حقوق ترشتك امشي دور حقوقك بلادك جاي لبلاد عالم اقتصادها تعبان حقوق يرجى العسل تينة الدبور,normal
ترجمة سمحت,normal
يلعن بوكم شعب الكافرون,hate
الحريات الفردية اوالحريات بصفة وقتو نحكيو,normal
المشكل المرأة تقود الطائرة المشكل التونسية تتاجر زبورها,abusive
كريم برافو برافو القحبة مايا نقولك يعطك عصبة العصبة اشرف مرة اكبر شماتااااا تتحرم العصبة طول حياتك,abusive
نمشي الني العصبة بعاثتهالي نجي النيكك خر,abusive
تحكى عورة منغير حجاب وشعرك عريان عورة تحكي العورة حجابك تحكي العورة مايا النبي صلى وسلم الحديث نساء كاسيات عاريات مميلات يدخلن الجنة يشمنا ريحها حديث خطير النبي صلى وسلم مازلت ميش تحب تتحجب ربي يهدي بنات تونس نحبولهم لخير,hate
لاحظت التوانسة كامل منحازين الفاملات,normal
التونسيين قصف تونس,normal
شمس متربي لطفي وراجل,normal
لطفي شخص حقير وغير محترم وسمج شمس الدين باشا رجولة الاحترام اخلاقه وتربيته ماسمحتله يرد بنفس اسلوبه تحية شمووسي ياغالي مهجه الصباح,abusive
إنسان فارغ فكريا,normal
صحيح تونس ازدواجية الجنسية وماتعيشش باقامة تونس نكرهها القانون تونس,normal
قلقتني لعبدة تحط روحا شبعتي رخس,normal
أعوذ بالله الشيطان الرجيم,normal
هآلقح بة مي لوكان ياو لاد نعل قها,abusive
ممسطك مروى لى ساعات انحسك ماسطة مساطك هلكت الذوق العام راديو ماد طيح الرداءة الموجودة التلافز التونسية قارية بوزار تخدم راديو هههههههههه تنجح أكيد,normal
مودب فانتي مكش راجل,normal
لونه بسعوديه نبحتوا لين ونهار بهائم,abusive
أفكار وآراء تنفع الناس واعية تفهم جملة القضايا همك الميراث الدرجة معاقة فكريا الثمار الخارثة والمصخة جابتها الثورة خلاتنا نندمو عالنهار قررنا نعملو ثورة طلعتلنا الرهوط,abusive
أصدقاء غرب إفريقيا ووسطها يدرسون وجدة أناس طيبين,normal
يعجز الليسان الكلام والله راسي حبس وصل الحال لمحاربة سبحانو وتعالى حبيتو ترجعو يهود عيب عيب تروحو ربي النار توكلكم,hate
ليبيا ترحب يمسلم ياحر,normal
تمثيل فاشل ناس تافهااااا,normal
بلد دين اخلاق,hate
ماهي يخ إمام جامع,normal
خرجتو زين العبدين وجبتو عميل الماسون,normal
زوج شمس لطفي زوج ماصطين,normal
الإعلامي تافهه المرأة اتفه والله تملك الجمال مفبركة,normal
محلاها المذيعة مرة نسمعها محلاها,normal
هالكلبة صبابة الفلوس اتبيع وطنها جيبنها وعاملين قيمة ابلاصتها الحبس,abusive
تفوه الإسلام متاعكم,hate
خويا صح مكرهينهم رب حياتهم ماناش تحاميو زبي نساء تحكم خاوتنا بنات يسهروا لنص الليل يشوف بالتشتناف نسكتولوا المخنث يعدي فالتلفزة العمركم شفتوا مخنث جزائري عداوه التلفزة نيمكو القحبة القناة تتقفل,abusive
مخص عقلها جيش مريم قول كلاب مريم شعب تونسي يكرها جيش كونشي الحاسه متعها,normal
شمس دين مؤدب برغم سي خونا لابس كيلو فلفل يتلغبب,normal
يخرج السبسي الصليبي معامل خمر يصبح خارجي,hate
اهدري روحك تحكي الجزاير احترمي روحك فايحة زوج حطب جهنم والى عاجبك هادا شاذ ومخنث,hate
روح ترخف,normal
صهيوني,hate
الشعب التونسي يعرف السبسي بقابة ومخلفات بورفيبة هادا منتظر السبسي تونس اسﻻمبة,normal
مرتدين الدين إنكار معلوم الدين بالضرورة,normal
برنامج تااااافه عاللخر,normal
اللهم زلزل الأرض أقدامهم,abusive
كلام جهل احترامي,normal
مومس بوڨلب,hate
أنتضروا الساعة,normal
طلعت مايا هنتلتو,normal
مجاهدات النكاح التونسيات يعدن حوامل اللقطاء خنزير ولد القحبة عهد بورقيبة صرم أمك وأختك وزوجتك وبناتك مسون وغالي كلب محمد,hate
مسلمين نعارض عارضتم جاءات مصائب يعرف عباده جيدا شريعة تولائم عباده داعي فلسفة جهلاء نغير قونيين ارض تحل الكارثة قل سمع وطاعة بشر ضعيف تجهل قونيين الكون غيب,normal
شعوب راقية تعمل باجتهاد وإخلاص يعيش الحقوق محفوظة أخلاق راقية يهتم بالآخر وشؤونه احترام متبادل المؤسسات اللاجئون يندمجون الجو العرب التخلف يتواصل الانتهازية واستغلال الدين فعلوا,normal
والمادا النساء تونس متبرجات أكثر تونس الأخلاق التربية يخاف الدي خلقهم,normal
نبيك مغتصب الاطفال المنيوك,abusive
