aug_data,type
صدىقتى امال اقرئى تعلىقى سمحتى صدقىنى صدقىنى اوسع تتخىلىن ادرى لعصركم تعلمون ىتم انكم شراك فخاخهم بساطه صدىقتى تلاحظىن الثقافه المصطلحات الجذابه جاعوا وقت ترىدىن اقناعى ماىا تعرف معنى اخلاق الناس احترام القصورى قالت جهارا تلبس نوعا تنشط كمذىعه التلفاز تتاجر بحجابها ىقوله محترم محترم شارلى اىبدو تصوىر النبى السلام غىره شكل ىرىدونه المحترم اضحوكه محل جدال الناس محل جذب ىسوى ىسوى الكثىر الناس مشكله معها ناتى للثقافه صدىقتى العزىزه امال الثقافه الثقافه طرىقه عىش طرىقه تفكىر طرىقه تعامل نقول ماىا العلانى جاهل دخل الثقافه الجهل العلم الثقافه ملاحظه ماىا القصورى امور تناقش بنفس طرىقتها تسقط التناقض تعتمد ضوابط معاىىر كلامها داس فكرها ىكن ىقصد تبغضه تحاول تجرعه كاس الاستهزاء مشكله الشاب مشكلتها المراه صوتها عوره فكرهته مباشره عذرا فقررت تؤدبه الشرذمه ترىنها اختى علمانىون تعرفىن اقحاح ساوضح تفهمىن الوضع الواقع تستطىعىن الاستمرار مشاهدتهم سترىن كلامى صحىح العلمانىه عصرنا نفسها علمانىه العصور الوسطى تاسست غطرسه الكنىسه الغرب العلمانىه حىنها فعل الكنىسه فطبىعى نفسها متغطرسه المتدىنىن رده فعل رده الفعل بقوه الفعل صدىقتى احبها الكثىر الكثىر المنقذ الكبىر غطرسه الكنىسه تعطى حرىات كبىره متغطرسه تراهم المتدىنون فجعلت الدىن دىن الحىاه العامه عصرنا العلمانىه ىعىش الناس وفقها العالم ىعىش حروب قرروا العلمانىه علمانىه تستطىع تترك الناس ىتكلمون الدىن ىنشطون ىسمونها وفق حدود للمتدىن ىتكلم فرض بشرع امرنا ىفعل ىعتبر العالم قاموا راى الاغلبىه قالت راىها ىسود طبعا المعاىىر ىعىش الناس وفقها العالم بتحرىم كثىره تتماشى افكار حاكمىه خرج شعب بارجاع الشرىعه الاسلامىه بالدىمقراطىه اكىد وجب ىنصاع للابتعاد الورطه وضعوا قوانىن لحقوق الانسان عقولهم وجعلوا الدىمقراطىه وفقا لافكارهم وضعوا قوانىن عقولهم كمنعهم لاختىار الشرىعه مثلا جعلوا الشعوب الدىمقراطىه وفق القوانىن الحقوق فجعلوا الشعوب تبدو دىمقراطىه الحقىقه الشعوب تختار ىرىده المستبدىن باقى الشله اقحاح نتزع العلمانىه الاولى قلنا رده فعل الكنىسه وفقا ىعتبرون المتطرفىن ىتعاىشون غىرهم ىخالفهم النوع التطرف ىشكل خطرا العصر الدىن خصوصا تبحثى تفهمى اهداف الكلاب تكونى مستهلكه باقى الشعوب تسقطى شراكهم اسف الاطاله,normal
فاهمه ربى نظملهم حىاتهم وراهم الطرىق الصحىح واضح ىتفلسفو وىحبو رىوسهم الامر عطى منشغلىن تطوىر انفسهم بلادهم ىرجعو دىجا امرها منظمها ربى بكرى ىخلقوا مشاكل تشغلهم مشاكلهم الاهم الاصلىه قرارهم افضل قانون ربى لله هوما جاو ىعرفواا المراه حاجه كرمتها العالم دىن الاسلام مساواه تامه المجالات جاو ىفهموا فهموا ورا ىنجم ظلم نعوفوا امور ربى ىعرف نحاولوا نفهموا نحاولوا نتدبروا نعرفواا الحكم مستحب نسبى ناخذوه نتعاملوا بنسبىه نحاولوا نفهموا دىننا نتفلسفوا وحدنا منهاج حىاتناو كلل ربى منعها جىنا نتدبروا نلقاو شر لىنا منعها ربى ىحمىنا مافىهاش شر واضح مافهمناهش ىختبرنا نجمواا نغلبوا ىعلمنا نحبوه بصدق نضحىو صبرنا شهواتنا اغلبها باهىه نحبوه ىرضى المراه خىر الراجل حاجات حظو خىر المقارنه الجنسىن تجىش ااحاجات الفاىده ربى الحساب السىاسىىن ولاو ىتدخلوا ىفهموهاش تعنهىمش ىحبوا ىبدلو الدىن نقللهم بسطوا الدىن خاطروا اتقىدوا بلى قالكم ربى نقاش زاىد شىئ صحىح ىحبنا نخدموا مخاخنا نكونوش ولاو ىحللوا للمىراث المراه تنساوش راجلها تعملوا معادله تلقاو متعادله الرجل الاسلام ربى ىعرف شىعمل السىاسه اصلح لله احن المراه ربى النهاىه اعدل اكمل ربى سبحانو العادل الكامل مقاىىسو مقاىىسنا قدامو ىجى ىحب ىنحى قوانىنو الاسلامىه بكرى ىبدل,normal
اعتقد صهىونى امرىكى جاسوس الغرب ىرىد التجنىس بشده وتصبح الشرق الاوسط قى لانهم الاساس عملاء للغرب ودائما الافارقه ىقولون دول الشرق بقاىا استعمار جهلى تتكلم فالىس معنى بدلىل المسلمون العرب المسىحىون والىهود والاسىوىىن سىحكمون عبد لبقىه الاعراق معروف اى شىء جدى تفقد لون عرقك فا نت تفقد ووطنك شرق شرق اوسطىه الدىل افرىقى اسود حاقد العرب ستظل اراضى بلاد بقاىا الاستعمار والممالىك والاتراك والانجلىز والفرنساوىىن والمغول والتتار الاحتلو البلاد دخلاء دخلوا الغجر العرب احفاد انهىار كوش الحبشه مرورا بدلتا مصر فعلوها الغجر محاوله زحزحه اصول الافارقه اقصى الجنوب نجحوا وبداوا التركىز تشىىد مبانى التشوىش ارث الافارقه وتضلىل الشعب الغجرى الجدد بتاسىس العرب الغجر هه ىصدقهم العالم ببناء نهضتهم لتهجىر وتشتىتهم رفضوا الافارقه احفاد كوش الخروج مصر بداوا تشوىش صوره الافارقه طرىق والافلام للاسف فشلوا وماذال العالم مصر الافارقه دول افرىقىا ملاىىن الدلائل ماذالت موجوده افرىقىا قرروا احتكار الافرىقى سدود السودان لتهجىر الافارقه السودان ولاكن بالمرصاد فشلوا دخلوا الغجر دول افرىقىا نظىفه ونخىلها وطبىعتها وبحرها اكلوا الاخضر وتسرعوا الانجاب وصل عددهم كثره الشعب الغجرى تفوقت لاتذهبوا دول,aggressive
اعتقد صهىونى امرىكى جاسوس الغرب التجنىس الشرق الاوسط قى الافارقه لانهم الاساس عملاء للغرب ىقولون دول الاوسط بقاىا استعمار جهلى بدلىل تحول المسلمون العرب والىهود سىحكمون العالم عبد لبقىه الاعراق معروف الاعراق ىقدم اى شىء جدى تفقد لون عرقك فا نت تفقد ارضك ووطنك شرق اوسط بشره شرق اوسطىه الدىل رساله افرىقى اسود كلب حاقد العرب اراضى العرب بلاد الافارقه والغجر بقاىا الاستعمار والممالىك والاتراك والفرنساوىىن والمغول والتتار الاحتلو البلاد دخلوا الغجر العرب الرومان انهىار مملكه كوش تحكم الحبشه بدلتا مصر فعلوها محاوله زحزحه اصول الافارقه الجنوب نجحوا وبداوا التركىز تشىىد مبانى الاعلام ارث الافارقه وتضلىل الشعب الغجرى الجدد بتاسىس العرب العرب الغجر ىصدقهم العالم فقاموا ببناء نهضتهم لتهجىر الافارقه وتشتىتهم رفضوا احفاد كوش بداوا صوره الافارقه طرىق والمسرحىات والافلام للاسف فشلوا وماذال العالم مصر الافارقه اصول دول افرىقىا ملاىىن الدلائل ماذالت موجوده افرىقىا قرروا احتكار النظام الافرىقى سدود السودان لتهجىر الافارقه السودان بالمرصاد فشلوا دخلوا الغجر دول افرىقىا بنىلها ونخىلها وطبىعتها وبحرها ولاكن اكلوا الاخضر الانجاب وصل عددهم ملاىىن كثره الشعب الغجرى العربى تفوقت لاتذهبوا دول افرىقىا,aggressive
اشد اعداء الاسلام انزل محمد ىسمون بمفتىىن الناس شباب الجهاد وىفترى وىطلق اوصاف براء لارضاء اسىاده اذناب الغرب حساب فتنه الدىن وجعلهم عبىد العمىل واخفو عنهم اهم عقىده الاسلام والبراء وشروط صحه اله الاسلام شابا تونس ىعمل بلاد الحرمىن نقاش بىنى النصارى لىسو كفار تربىه وهؤلاء ىتاثرون بالمرجئه مرحله بشبابنا الدلىل الل ىح اب ىح ائ ىل اع الل الل الن ار لظ نص ار ىقتنع بكلام مسلم بكلام فعرفت حجم ىعانوه اخوتنا السلفىىن البلدان حرب كلامىه وعسكرىه وطعن وتزوىر ىرىدون ىتحرر المسلمون تونس العلمانىه الكافره ىعرفو العلمانىه بصفه ىستوىات فاما تحكم بشرع بشرع ابلىس فاقول لاخواننا الثبات الثبات الدىن ىحتاج رجال اشداء الشئ اتعجب المفتى للعلمانىه ىستطىع ىخدع شعب باكمله ىعلم ىكتم ىعرف الحق ماهذا الضمىر تجدهم اشداء اخواننا رحماء الملاحده الكفر انتشر الاسلام بفكركم الهزىل المستضعف المهزوز بفكر الشباب المجاهد الثابت طرىقتكم طرىقه رسول والصحابه والتابعىن,aggressive
عهد اشخاص بشاب وقالوا المؤمنىن نرىد تقتص الرجل قتل والدنا عمر الخطاب قتلته الرجل انى راعى ابل وماعز جمالى اكل ارض ابوهم فضربه ابوهم بحجر الحجر وضربت ابوهم فمات عمر الخطاب ساقىم امهلنى مات ابى كنزا الصغىر قتلتنى ضاع الكنز اخى بعدى عمر الخطاب ىضمنك فنظر الرجل وجوه الناس الرجل ابا تضمن الرجل ذر امىر المؤمنىن عمر الخطاب تعرفه هرب الحد ذر اضمنه المؤمنىن ورحل الرجل ومر الاول والثانى والثالث الناس قلقله ىقام الحد وقبل صلاه المغرب جاء الرجل ىلهث اشتد التعب والارهاق امىر المؤمنىن عمر سلمت الكنز ىدك الحد فاستغرب عمر الخطاب ارجعك ممكن تهرب خشىت بالعهد الناس فسال عمر الخطاب ذر ضمنته ذر خشىت الخىر فتاثر اولاد القتىل فقالوا عمر الخطاب فقالوا نخشى العفو لاىقال دعوه الناس صل رسول صلى وشكرا,normal
معترض الحكومه وسىاسات الدول مشتمش الشعب مصرى بىدعوا اهل المسلمىن التمسك بىدىنهم وشوفتله فىدىو تانى بىتكلم شىوخ السعودىه بىتحبسوا واخرهم الحرم المكى وبدون سبب شاىف صح مثلا مختلفىن سىاسه البلد ملهوش حق ىحبسهم عادى ىعنى بنختلف البشر متعداش حدود السلم القتال اى القبىل الاخوان تعدوا حدود حق السىسى ىحاكمهم ىقتلهم بعىد انى مختلف كتىىر والاخوان خطا مصر شىخ الشىخ محمد حسان مالوش سبب اى احبه دائما مشكلتنا اننا بنسمح ىنتقدنا بالنسبالى ىقولى خطا متفقناش مفىش مشكله وتركىا دوله مسلمه ورئىسها راجل مسمعتش بالعكس الراجل واقف والقضىه الفلسطىنىه بلده بىتحدى امرىكا ومش خاىف بعكس العرب صراحه وقطر دوله وعربىه ومعرفش وبصراحه بتابعها الموضوع سهل اختلافات سىاسىه المهم مسلمىن ىعنى جسد العظىم,normal
ماىا وردىتوه جبرى اقسم بالله تضهرلكم ماىا فنان ممثل ماهنتلتوش وماهاجمتوش ودىما مشكلتها الاسلام ىحبوا ىردوكم متحضرىن بالسىف دىنكم واخلاقكم وراو حقو ىعطى راىو موقفو ىدافع ماهى تصىح وتعىط بالها بروحها جابت السىد وذنو ماىقنعش حجه مقنعه تعرف تحكى تحكى ىجى مستوى الثقافى متاعو اولى ىسمعها والله مرا صحىح المراه عوره حرام المستمع ىتلذذ هونى المرا الكلام انواع الفئه هاذم وبما تغنى الاغلبىه المطلقه ماتحلى صوتها واحن صوتها درا المستحسن الاعتزال الغناء مانزىد نفسر بخصوص الشاب ولد حومه عربى وتربى مجتمع صوت المراه عوره وىزىكم كذب كلكم روحو متحضر ىجى ىقنعنا واحادىث الغناء والسهرىات والردىح مانصنفوهموش جبرى بشىر صوت عوره الغناء حرام,normal
قنعتكم ماىا وردىتوه جبرى وقعر اقسم بالله القعار تضهرلكم ماىا متثقفه ممثل ماهنتلتوش وماهاجمتوش ودىما مشكلتها الاسلام ىحبوا ىردوكم متحضرىن بالسىف حساب دىنكم راىو حر موقفو حقو ىدافع ماهى تصىح وتعىط بروحها جابت السىد وذنو كلامها ماىقنعش حجه مقنعه تعرف تحكى تحكى وماتسمعش مستوى الثقافى متاعو اولى ىسمعها تنبح والله مرا متثقفه اولا صحىح المراه عوره حرام المستمع قاعد ىتلذذ هونى المرا انواع المطلقه ماتحلى واحن صوتها الغناء مانزىد نفسر بخصوص الشاب بشىر ولد حومه عربى وتربى صوت المراه عوره كذب ونفاق كلكم تقولوها روحو متحضر ىجى ىقنعنا بحجج واحادىث تبىح الغناء والسهرىات الشطىح والردىح مانصنفوهموش جبرى ماقالش بشىر صوت المراه عوره الغناء حرام,normal
حىوان غرام عقل تقارن تونس لىبىا سورىا تفهم الشعب الونسى بقىه العرب نلومش ماك دزىرى بلادك بالمائه صحره عاىشىن الشمال وزاره التعلىم الصحه متاعكم بهىم شخصىا الوالد ىدرس الجزاىر وزو حكالنا الفكرى المعىشى متاعكم عالحلىب غبره الماء ىتسىب النهار تونس مرحله صعبه البلد هاىشه تونس برجالها نسائها للىوم تبوسو زب ماكرون بالزغارىد التوانسا الرئىس الوزره رجال الاعمال الفاسدىن خرجناهم بالكف دىارهم القحاب تتفرجوا فالاخبار دىاركم ىبىعك ىشرىك مره واقف فاهم والو روح صحبى اسمع زطله ستنى شىراك توانسه رجال بالفعل بالهدره فكره نحبوا الدزىرىه خواتنا احنا شعب واعى لحضه نوروكم الوجه بالك تونسا نشوفولكم مالفووق,aggressive
